بقوائمها	قائِمَة
باصم	أَصَمّ
باصحابنا	صاحِب
باصحابك	صاحِب
باصبعي	إِصْبَعِيّ,إِصْبَع
باصبع	إِصْبَع
باصابعي	إِصْبَع
باصابع	إِصْبَع
باشياء	شَيْء
باسيرك	أَسِير
باسيافكم	سَيْف,سِيف
باسهمه	سَهْم
باسنادهما	إِسْناد,سَنَد
باسماعيل	إِسْماعِيل
باسماء	أَسْماء,ٱِسْم
باسفله	أَسْفَل
بازواد	أَزْواد
باركة	بارَك,أُرْكَة
بارضي	أَرْضِيّ,أَرْض
بارضهم	أَرْض
بارحم	NOTFOUND
بارجي	أَرَج,أَرِج,أَرْج
بارجلهم	رِجْل
بارئا	بارِئ
باذننا	أُذُن,آذِن,إِذْن
بادرة	بادِرَة,بادَر
بادر	بادَر,بادِر
بادامهم	إِدام,أَدّام
باخراج	إِخْراج
باخذيه	آخِذ
باحل	NOTFOUND
باحكم	أَحْكَم,أَحّ,باح
باحداهما	أَحَد
باحجار	حَجَر
باجنحتهم	جَناح
باثنتين	ٱِثْنَتانِ
باثره	أَثَر,أَثِر,إِثْرَ,أَثْر
باثر	أَثَر,أَثِر,إِثْرَ,أَثْر
باتخاذ	ٱِتِّخاذ
بابله	أَبْلَه,بابِل,إِبْل,أُبُلَّة
بابرار	بارّ
باءت	باء
بئري	بِئْر
بؤس	بُؤْس
ايهاه	NOTFOUND
اينفعها	NOTFOUND
اينحني	NOTFOUND
ايكون	NOTFOUND
ايكفرن	NOTFOUND
ايكسر	NOTFOUND
ايقن	يَقِن-َ,أَيْقَن
ايقظهم	أَيْقَظ,يَقَّظ
ايقظها	أَيْقَظ,يَقَّظ
ايقظنا	أَيْقَظ,يَقَّظ
ايقظ	أَيْقَظ,يَقَّظ,يَقِظ-َ,يَقُظ
ايقتص	NOTFOUND
ايغتسل	NOTFOUND
ايعتد	NOTFOUND
ايصوم	NOTFOUND
ايسركم	أَيْسَر,يَسَّر
ايرفع	NOTFOUND
ايديهن	يَد
ايدعها	NOTFOUND
ايدا	أَيَّد
ايد	أَيَّد,يَد
ايحل	NOTFOUND
ايجزي	NOTFOUND
ايجزئ	NOTFOUND
ايتكن	أَيّ,آيَة
ايتزوجها	NOTFOUND
ايا	أَيّ,آيا
اويتما	آوَى,أَوَّى,أَوَى-ِ
اوياكل	NOTFOUND
اوهبلت	NOTFOUND
اوليتم	أَوْلَى
اولسنا	أَوْلَس
اولتها	أَوَّل,أَوْلَى
اولاهما	أَوَّل,أَوْلَى
اولادا	وَلَد
اولات	أَوَّل
اوكد	وَكَّد
اوكان	NOTFOUND
اوقظ	أَيْقَظ,وَقَّظ
اوقصته	NOTFOUND
اوفيتهم	أَوْفَى
اوفتح	NOTFOUND
اوعال	وَعْل
اوصيت	أَوْصَى
اوساط	وَسْط
اوزارها	وِزْر,وازِرَة
اوزار	وِزْر,وازِرَة
اورثتموها	أَوْرَث
اورث	أَوْرَث,وَرِث-ِ,وَرَّث
اوراكهم	وَرْك
اودعك	أَوْدَع,وَدَّع
اوخير	NOTFOUND
اوحاه	أَوْحَى
اوجنة	NOTFOUND
اوجعني	وَجِع-َ,أَوْجَع
اوجعتك	أَوْجَع
اوجز	أَوْجَز
اوجدتم	أَوْجَد
اوثقه	أَوْثَق,وَثَّق
اوثقناه	أَوْثَق
اوثان	وَثَن
اوتيها	NOTFOUND
اوتينا	NOTFOUND
اوتيتهما	NOTFOUND
اوتيتها	NOTFOUND
اوباش	وَبَش,أَوْباش
اواها	أَوَّى,آوَى,أَوَى-ِ
اواقي	أُوقِيَّة
اوائلهم	أَوَّل
اهوت	أَهْوَى
اهلل	هَلَّل,أَهَلّ,هَلّ-ِ
اهلالا	NOTFOUND
اهلال	NOTFOUND
اهريقوه	NOTFOUND
اهرقها	أَهْرَق,هَرَق-َ
اهده	هَدَى-ِ,هَدّ,أَهْدَى
اهدب	أَهْدَب,هَدَّب,هَدِب-َ
اهدا	NOTFOUND
اهتف	هَتَف-ِ
اهبطت	أَهْبَط
اهبا	أَهَّب,إِهاب,أَهَبّ,أُهْبَة
اهانه	إِهانَة,أَهان
اهالينا	أَهْل
اهابه	هاب-َ,إِهاب,أَهاب
اهابا	إِهاب,أَهاب
انين	أَنِين,أَنَى-ِ
انيتكم	آنِيّ,إِناء,أَنَى-ِ
انوه	نَوَى-ِ,أَنّ-ِ,نَوَّه,آن,أَنَى-ِ
انهسوا	NOTFOUND
اننا	إِنَّ,وَنَى-ِ,أَنَّ,أَنّ-ِ,آن
انماطك	نَمَط
انكما	إِنَّ,وَنَى-ِ,أَنّ-ِ,أَنَّ,آن
انكشفوا	ٱِنْكَشَف
انكسرت	ٱِنْكَسَر
انكرتها	أَنْكَر
انكرته	أَنْكَر
انكرتموه	أَنْكَر
انكحتكها	NOTFOUND
انكتها	نَكَّت,نَكَت
انقيت	أَنْقَى
انقوها	آنَق,أَنْقَى
انقم	نَقِم-َ,نَقَم-ِ
انقلبنا	ٱِنْقَلَب
انقضائها	ٱِنْقِضاء
انقب	نَقِب,نَقَّب,نَقَب
انقادي	NOTFOUND
انفي	أَنُوف,نَفَى,أَنْف,نَفا,أَنْفِيّ,آنِف
انفهقت	NOTFOUND
انفلت	ٱِنْفَلَت
انفعني	نَفَّع,نَفَع-َ
انفعك	نَفَّع,نَفَع-َ
انفرجت	ٱِنْفَرَج
انفحي	NOTFOUND
انفجر	ٱِنْفَجَر
انغرم	NOTFOUND
انعي	نَعَى-َ,نَعَى-ِ
انعس	نَعَّس,أَنْعَس,نَعَس-َُ
انظريني	نَظَر
انظرت	NOTFOUND
انطلقتم	ٱِنْطَلَق
انطقي	NOTFOUND
انضحيه	NOTFOUND
انضحي	NOTFOUND
انضح	نَضَح-ِ,نَضَح-َ
انصح	نَصَح-َ
انصابكم	نَصَب,نُصْب,نَصْب
انشدكن	أَنْشَد,نَشَد
انشدته	أَنْشَد
انشدت	أَنْشَد
انشاد	إِنْشاد,نَشِيد
انشات	إِنْش
انسيتم	أَنْسَى
انسه	ناس,نَسِي-َ,أُنْس,آنِسَة,آنَس,أَنَّس,أَنْسَى,إِنْس
انسلخ	ٱِنْسَلَخ
انسقال	NOTFOUND
انسب	نَسَب,أَنْسَب,ٱِنْساب
انزلني	نَزَل-ِ,أَنْزَل,نَزَّل,نَزِل-َ
انزعيه	NOTFOUND
انري	NOTFOUND
انحيت	أَنْحَى
انحن	ٱِنْحَنَى
انحط	ٱِنْحَطّ
انحدثاه	NOTFOUND
انحاء	نَحْو
انجلي	ٱِنْجَلَى,أَنْجَل
انجح	نَجَّح,نَجَح-َ,أَنْجَح
انثروه	NOTFOUND
انثرها	نَثَر,نَثَّر
انتقض	ٱِنْتَقَض
انتقش	ٱِنْتَقَش
انتظري	NOTFOUND
انتظرنا	ٱِنْتَظَر
انتظركما	ٱِنْتَظَر
انتظار	ٱِنْتِظار
انتشارا	ٱِنْتِشار
انتزعها	ٱِنْتَزَع
انتحر	ٱِنْتَحَر
انتجاه	أَنْتَج,ٱِنْتَجَى
انبذوه	أَنْبَذ
انبذ	نَبَذ-ِ,نَبَّذ,أَنْبَذ
انبتي	أَنَبَة
انباه	أَنَّب
انبا	أَنْبا,أَنَبَة,أَنَّب
اناخه	أَناخ
اميننا	أَمِين
اموره	مار,أَمْر
امورنا	مار,أَمْر
امهن	أَماه,مَهَن-َُ,أُمّ,مَهُن
امهله	أَمْهَل,مَهَّل
امهاتي	أُمّ
امنوني	أَمَنّ,مَنا,آمَن,أَمَّن
امنون	آمِن
امنعك	أَمْنَع,مَنَع
امنحك	مَنَح-َ
امكثوا	NOTFOUND
امعه	ماع-ِ,أَماع,مَعا,إِمَّع
امطر	مَطَر,أَمْطَر
امضه	وَمَض-ِ,أَمْضَى,مَضَّى,مَضّ,مَضَى-ِ,أَمَضّ
امضاها	أَمْضَى,أَمَضّ
امصاركم	مِصْر
امشوا	أَمْشَى
امسكني	مَسَّك,أَمْسَك,مَسَك
امسكنا	مَسَّك,أَمْسَك,مَسَك
امسحه	مَسَّح,مَسَح-َ
امسافة	NOTFOUND
امرض	مَرِض-َ,مَرَّض,أَمْرَض
امرر	أَمَرّ,مَرّ,مَرَّر
امرائي	أَمِير
امرائنا	أَمِير
امرائكم	أَمِير
امد	أَمْدَى,مَدّ,ماد-ِ,أَمْبِير,أَمَدّ
امحوك	مَحا
امحه	ٱِمَّحَى,ماح-ِ,مَحا,مَحَّى
امجنون	NOTFOUND
امثلها	مَثَل,مَثَّل,أَمْثَل
امتعكن	مَتَّع,مَتَع-َ,أَمْتَع
امتشط	ٱِمْتَشَط
امتري	ٱِمْتَرَى
امتحان	ٱِمْتِحان
اماه	أَماه
اماط	أَماط
امارتي	أَمّار,إِمارَة,أَمارَة
امارتها	أَمّار,إِمارَة,أَمار,أَمارَة
اماراتها	أَمّار,إِمارَة,أَمارَة
اماثته	NOTFOUND
اماتة	إِماتَة,أَمات
اليون	آلِيّ
اليما	أَلِيم
اليسارة	NOTFOUND
اليحمدي	NOTFOUND
اليتين	آلِيّ,آلِيَّة,أَلْيَة
الية	آلِيّ,إِلَى,آلِيَّة,وَلِي-ِ,أَلْيَة
الوهن	أَلْوَى,آل,لَوِي-َ,أَلا,وَهْن,لَوَى-ِ,واهِن,آلَى,لَوَّى
الولود	وَلُود
الوقيعة	وَقِيعَة
الوقتين	وُقَّة
الوفود	وَفْد
الوعك	لَوَّع,وَعِك
الوصيف	وَصِيف
الوسوسة	وَسْوَسَة
الوسنان	وَسِن,وَسْنان
الوسم	وَسْم
الوزن	وَزْن
الوزراء	وَزِير
الورقاء	NOTFOUND
الوانهم	لَوْن
الوانه	لَوْن
الوالي	والِي
الواسطيان	NOTFOUND
الواد	NOTFOUND
الهموم	هَمّ
الهرمزان	NOTFOUND
الهة	لَهِي-َ,أَلَّه,لَها,أَلْهَى,إِلٰه,لَهَّى
الهامة	هامّ,هامَة,إِلْهام
الهالك	هالِك
الهادي	هادِي
النوق	ناقَة
النواحة	نَوّاحَة,نَوّاح
النهران	نَهْر
النميمة	نَمِيمَة
النكري	NOTFOUND
النقمة	نَقْمَة
النقاب	نَقّاب,نِقاب
النفاس	نِفاس
النعيمان	نَعِيم
النطفة	نُطْفَة
النصح	نَصْح,ناصِح
النش	NOTFOUND
النسا	NOTFOUND
النزع	نَزْع
الندم	نَدَم
الندامي	نَدْمان
النخامة	نُخامَة
النحو	نَحْو,نَحْوَ
النجس	نَجِس,نَجَس
النجراني	NOTFOUND
النجاد	نَجّاد,نَجْد,نِجاد
النجا	نَجا,نَجاً
النبيصلي	NOTFOUND
النبط	نَبَطِيّ,نَبْط,نَبَط
النافلة	نافِلَة
الناظور	ناظُور
الناضح	NOTFOUND
الناصية	ناصِيَة
الناصور	ناصُور
الناسخ	ناسِخ
الناجش	NOTFOUND
النا	آل,وَلِي-ِ,أَلان
الميم	مِيم
المياه	ماء
المولي	مَوْلَى
الموكل	مُوَكَّل,مُوَكِّل
الموقوف	مَوْقُوف
الموعوكة	مَوْعُوك
الموعظة	مَوْعِظَة
الموطن	مَوْطِن
الموصوفة	مَوْصُوف
الموصلات	مُوَصِّل
المورع	NOTFOUND
الموبق	مَوْبِق
الموارد	مَوْرِد
المهنا	مُهَنّا
المهلل	مُهَلَّل
المهابة	مَهابَة
المنكرات	مُنْكَرات,مُنْكِر
المنقوشة	مَنْقُوش
المنفلتة	NOTFOUND
المنعمات	مُنَعَّم,مُنْعِم
المنصف	مُنَصِّف,مُنْصِف
المنشار	مِنْشار
المنتهب	NOTFOUND
المنايا	مَنِيَّة
المنافقات	مُنافِق,مُنافَقَة
المنافع	مَنْفَعَة
المميت	مُمِيت
الممغط	NOTFOUND
الممشقة	NOTFOUND
الملكوت	مَلَكُوت
الملقب	مُلَقَّب
الملائكةبيتا	NOTFOUND
المكروهات	مَكْرُوه
المكره	مَكْرَة,ماكِر,مَكْرَه,مُكْرَه
المكثرين	مُكْثِر
المقنع	مُقَنَّع,مَقْنَع,مُقْنِع
المقلون	مُقِلّ
المقتتلين	NOTFOUND
المقابلة	مُقابَلَة
المفدمة	NOTFOUND
المفاتيح	مِفْتاح
المغيبات	مُغَيِّب,مُغَيَّب
المغمود	مَغْمُود
المغلظة	مُغَلَّظ
المغربون	مُغَرَّب
المغالية	مُغالِي
المعيد	مُعِيد
المعونة	مَعُونَة
المعوذات	NOTFOUND
المعضوض	NOTFOUND
المعصية	مَعْصِيَة
المعدن	مُعَدِّن,مَعْدِن
المعتق	مُعَتَّق,مُعْتِق
المعترض	مُعْتَرِض
المعتبة	NOTFOUND
المظاهر	مَظْهَر
